++
||
++
++


Similar words to acrobatic
expert count: 2850 | Novice has 204 less
+-----------------+------------+------------+------------+
|       Word      | Novice Pos | Expert Pos | Difference |
+-----------------+------------+------------+------------+
|    acrobatics   |     1      |     1      |     0      |
|     juggling    |     2      |     3      |     -1     |
|     footwork    |     3      |     7      |     -4     |
|    aerialist    |     4      |     5      |     -1     |
|     acrobats    |     5      |     11     |     -6     |
|    aerialists   |     6      |     4      |     2      |
|     balletic    |     7      |     6      |     1      |
|    aerobatic    |     8      |     13     |     -5     |
|   somersaults   |     9      |     9      |     0      |
|    backflips    |     10     |     22     |    -12     |
|     agility     |     11     |     17     |     -6     |
|   acrobalance   |     12     |     2      |     10     |
|    pirouettes   |     13     |     14     |     -1     |
|  contortionists |     14     |     8      |     6      |
|    handstands   |     15     |     12     |     3      |
|     acrobat     |     16     |     15     |     1      |
|    aerobatics   |     17     |     19     |     -2     |
|      stunts     |     18     |     20     |     -2     |
|     clowning    |     19     |     16     |     3      |
|    contortion   |     20     |     10     |     10     |
|    cartwheels   |     21     |     25     |     -4     |
|   showmanship   |     22     |     18     |     4      |
|  contortionist  |     23     |     29     |     -6     |
|    gymnastic    |     24     |     24     |     0      |
|    handstand    |     25     |     23     |     2      |
|     routines    |     26     |     30     |     -4     |
|    swordplay    |     27     |     40     |    -13     |
|    dribbling    |     28     |     31     |     -3     |
|     trapeze     |     29     |     32     |     -3     |
| improvisational |     30     |     27     |     3      |
|     twirling    |     31     |     26     |     5      |
|   athleticism   |     32     |     28     |     4      |
|  choreographing |     33     |     37     |     -4     |
|   choreography  |     34     |     39     |     -5     |
|     leaping     |     35     |     55     |    -20     |
|     dancers     |     36     |     33     |     3      |
|      agile      |     37     |     34     |     3      |
|    trampoline   |     38     |     45     |     -7     |
|     jugglers    |     39     |     38     |     1      |
|     parkour     |     40     |     44     |     -4     |
|    tailslide    |     41     |     21     |     20     |
|    somersault   |     42     |     41     |     1      |
|   breakdancing  |     43     |     48     |     -5     |
|      flashy     |     44     |     47     |     -3     |
|    effortless   |     45     |     53     |     -8     |
|    theatrics    |     46     |     56     |    -10     |
|      stunt      |     47     |     95     |    -48     |
|    eggbeater    |     48     |     74     |    -26     |
|      dunks      |     49     |     64     |    -15     |
|     backflip    |     50     |     89     |    -39     |
|      mimes      |     51     |     70     |    -19     |
|    energetic    |     52     |     43     |     9      |
|     dancing     |     53     |     46     |     7      |
|  stickhandling  |     54     |     78     |    -24     |
|    escapology   |     55     |     80     |    -25     |
|   trampolining  |     56     |     36     |     20     |
|    virtuosic    |     57     |     54     |     3      |
|     bravura     |     58     |     69     |    -11     |
|      skill      |     59     |     58     |     1      |
|  sharpshooting  |     60     |     68     |     -8     |
|     krumping    |     61     |     57     |     4      |
|     aerobics    |     62     |     76     |    -14     |
|      bungee     |     63     |    133     |    -70     |
|   showboating   |     64     |     72     |     -8     |
|     juggler     |     65     |     67     |     -2     |
|     unicycle    |     66     |    103     |    -37     |
|    grappling    |     67     |     52     |     15     |
|     jumping     |     68     |    112     |    -44     |
|      dance      |     69     |     51     |     18     |
|      feats      |     70     |     99     |    -29     |
|      krump      |     71     |     -      |     -      |
|   illusionist   |     72     |     92     |    -20     |
|  choreographies |     73     |     66     |     7      |
|     comedic     |     74     |     49     |     25     |
|    dexterity    |     75     |    124     |    -49     |
|    ballerinas   |     76     |    100     |    -24     |
|    exuberant    |     77     |     71     |     6      |
