++
||
++
++


Similar words to addiction
expert count: 16088 | Novice has 1434 less
+-----------------------+------------+------------+------------+
|          Word         | Novice Pos | Expert Pos | Difference |
+-----------------------+------------+------------+------------+
|       addictions      |     1      |     1      |     0      |
|       alcoholism      |     2      |     2      |     0      |
|         addict        |     3      |     3      |     0      |
|        bulimia        |     4      |     5      |     -1     |
|        addicts        |     5      |     4      |     1      |
|        addicted       |     6      |     7      |     -1     |
|       painkiller      |     7      |     9      |     -2     |
|      agoraphobia      |     8      |     11     |     -3     |
|       psychosis       |     9      |     8      |     1      |
|        anorexia       |     10     |     6      |     4      |
|        relapse        |     11     |     10     |     1      |
|         abuse         |     12     |     14     |     -2     |
|          ptsd         |     13     |     13     |     0      |
|       quaaludes       |     14     |     23     |     -9     |
|         rehab         |     15     |     16     |     -1     |
|      deaddiction      |     16     |     58     |    -42     |
|       overeating      |     17     |     18     |     -1     |
|      painkillers      |     18     |     40     |    -22     |
|     schizophrenia     |     19     |     20     |     -1     |
|        dementia       |     20     |     21     |     -1     |
|        overdose       |     21     |     19     |     2      |
|        demerol        |     22     |     35     |    -13     |
|      kleptomania      |     23     |     17     |     6      |
|         xanax         |     24     |     24     |     0      |
|         abuser        |     25     |     25     |     0      |
|        insomnia       |     26     |     12     |     14     |
|        paranoia       |     27     |     34     |     -7     |
|       obsession       |     28     |     28     |     0      |
|        rohypnol       |     29     |     43     |    -14     |
|         binge         |     30     |     22     |     8      |
|        anxiety        |     31     |     15     |     16     |
|         ativan        |     32     |     32     |     0      |
|       freebasing      |     33     |    101     |    -68     |
|       overdoses       |     34     |     33     |     1      |
|         opiate        |     35     |     41     |     -6     |
|         detox         |     36     |     27     |     9      |
|        alcohol        |     37     |     30     |     7      |
|        vicodin        |     38     |     44     |     -6     |
|       loneliness      |     39     |     38     |     1      |
|         valium        |     40     |     46     |     -6     |
|        percocet       |     41     |     45     |     -4     |
|         addled        |     42     |     36     |     6      |
|         heroin        |     43     |     51     |     -8     |
|        opiates        |     44     |     62     |    -18     |
|       infidelity      |     45     |     60     |    -15     |
|         binges        |     46     |     47     |     -1     |
|        epilepsy       |     47     |     42     |     5      |
|         drugs         |     48     |     52     |     -4     |
|        senility       |     49     |    129     |    -80     |
|       overdosed       |     50     |     53     |     -3     |
|        obesity        |     51     |     26     |     25     |
|        ibogaine       |     52     |     31     |     21     |
|      promiscuity      |     53     |     48     |     5      |
|      intoxication     |     54     |     79     |    -25     |
|         mental        |     55     |     54     |     1      |
|      infatuation      |     56     |     78     |    -22     |
|      homelessness     |     57     |     39     |     18     |
|       compulsive      |     58     |     29     |     29     |
|       oxycontin       |     59     |     37     |     22     |
|       psychotic       |     60     |     49     |     11     |
|        neurosis       |     61     |     56     |     5      |
|      neurasthenia     |     62     |     69     |     -7     |
|       sexuality       |     63     |     76     |    -13     |
|       obsessive       |     64     |     65     |     -1     |
|     overindulgence    |     65     |     64     |     1      |
|        cravings       |     66     |     83     |    -17     |
|       alzheimer       |     67     |     61     |     6      |
|        neuroses       |     68     |     67     |     1      |
|        phobias        |     69     |     90     |    -21     |
|       hangovers       |     70     |     91     |    -21     |
|        amnesia        |     71     |     59     |     12     |
|        illness        |     72     |     88     |    -16     |
|        abusers        |     73     |     66     |     7      |
|      amphetamine      |     74     |    100     |    -26     |
|      homesickness     |     75     |    152     |    -77     |
|        morphine       |     76     |     86     |    -10     |
