++
||
++
++


Similar words to bomb
expert count: 62642 | Novice has 363 less
+----------------+------------+------------+------------+
|      Word      | Novice Pos | Expert Pos | Difference |
+----------------+------------+------------+------------+
|     bombs      |     1      |     1      |     0      |
|   explosives   |     2      |     2      |     0      |
|    bombing     |     3      |     3      |     0      |
|     blast      |     4      |     4      |     0      |
|     vbied      |     5      |     13     |     -8     |
|    firebomb    |     6      |     10     |     -4     |
|    carbomb     |     7      |     14     |     -7     |
|    grenade     |     8      |     5      |     3      |
|   detonation   |     9      |     9      |     0      |
|   explosion    |     10     |     6      |     4      |
|     bomber     |     11     |     11     |     0      |
|   detonator    |     12     |     16     |     -4     |
|   detonated    |     13     |     12     |     1      |
|    tallboy     |     14     |     7      |     7      |
|      ied       |     15     |     15     |     0      |
|    bomblets    |     16     |     17     |     -1     |
|   detonating   |     17     |     19     |     -2     |
|    munition    |     18     |     25     |     -7     |
|    detonate    |     19     |     22     |     -3     |
|  submunitions  |     20     |     8      |     12     |
|     tarzon     |     21     |     21     |     0      |
|    warhead     |     22     |     18     |     4      |
|    rockeye     |     23     |     61     |    -38     |
|      ieds      |     24     |     20     |     4      |
|   firebombs    |     25     |     27     |     -2     |
|  incendiaries  |     26     |     23     |     3      |
|    explode     |     27     |     33     |     -6     |
|    landmine    |     28     |     28     |     0      |
|   detonators   |     29     |     41     |    -12     |
|     rocket     |     30     |     29     |     1      |
|     torpex     |     31     |     77     |    -46     |
|  undetonated   |     32     |     37     |     -5     |
|     vbieds     |     33     |     30     |     3      |
|   airstrike    |     34     |     45     |    -11     |
|   explosive    |     35     |     26     |     9      |
|    bombings    |     36     |     36     |     0      |
|   doodlebug    |     37     |     57     |    -20     |
|    kiloton     |     38     |     39     |     -1     |
|   detonates    |     39     |     32     |     7      |
|     semtex     |     40     |     40     |     0      |
|  detonations   |     41     |     55     |    -14     |
|  submunition   |     42     |     24     |     18     |
|   gelignite    |     43     |     31     |     12     |
|   exploding    |     44     |     42     |     2      |
|   munitions    |     45     |     51     |     -6     |
|     weapon     |     46     |     35     |     11     |
|   explosions   |     47     |     44     |     3      |
|    bockscar    |     48     |     48     |     0      |
|  flamethrower  |     49     |     50     |     -1     |
|     blasts     |     50     |     54     |     -4     |
|  panzerfaust   |     51     |     82     |    -31     |
|    shrapnel    |     52     |     38     |     14     |
|   unexploded   |     53     |     67     |    -14     |
|      jdam      |     54     |     66     |    -12     |
|    dustbin     |     55     |     52     |     3      |
|      gbu       |     56     |     59     |     -3     |
|   incendiary   |     57     |     53     |     4      |
|    missile     |     58     |     34     |     24     |
|     attack     |     59     |     58     |     1      |
|    torpedo     |     60     |     64     |     -4     |
|  thermobaric   |     61     |     46     |     15     |
|    bombers     |     62     |     75     |    -13     |
|    megaton     |     63     |     65     |     -2     |
|    dynamite    |     64     |     71     |     -7     |
| flamethrowers  |     65     |    101     |    -36     |
|    tripwire    |     66     |     86     |    -20     |
|    airburst    |     67     |     63     |     4      |
|    kamikaze    |     68     |     56     |     12     |
|    exploded    |     69     |     76     |     -7     |
|    bomblet     |     70     |     49     |     21     |
|     jdams      |     71     |     74     |     -3     |
|      tatp      |     72     |     95     |    -23     |
|     weteye     |     73     |     70     |     3      |
|     drone      |     74     |     60     |     14     |
|     sarin      |     75     |     73     |     2      |
|    grenades    |     76     |     47     |     29     |
|     bullet     |     77     |     89     |    -12     |
|   lightmass    |     78     |     78     |     0      |
|    canister    |     79     |     62     |     17     |
|      petn      |     80     |     68     |     12     |
|      nuke      |     81     |     69     |     12     |
|   implosion    |     82     |    115     |    -33     |
|  bombardment   |     83     |     94     |    -11     |
|    bazooka     |     84     |     79     |     5      |
|    missiles    |     85     |     72     |     13     |
|   parachute    |     86     |     96     |    -10     |
|     bombs      |     87     |     90     |     -3     |
|    hexogen     |     88     |    122     |    -34     |
|    warheads    |     89     |     85     |     4      |
|      scud      |     90     |     80     |     10     |
|     bunker     |     91     |     88     |     3      |
|    metesky     |     92     |     -      |     -      |
|   helicopter   |     93     |     83     |     10     |
|     crash      |     94     |     92     |     2      |
|    melinite    |     95     |    180     |    -85     |
|  firebombing   |     96     |     93     |     3      |
|      fuze      |     97     |    123     |    -26     |
|    weapons     |     98     |     91     |     7      |
|      raid      |     99     |    107     |     -8     |
|     booby      |    100     |    100     |     0      |
|      emp       |    101     |     97     |     4      |
|   canisters    |    102     |     87     |     15     |
|   primacord    |    103     |    108     |     -5     |
|    fireball    |    104     |    131     |    -27     |
|     strafe     |    105     |     98     |     7      |
|     aimers     |    106     |    121     |    -15     |
|       lb       |    107     |     -      |     -      |
|    thermite    |    108     |    117     |     -9     |
|   submarine    |    109     |    114     |     -5     |
|     osirak     |    110     |    120     |    -10     |
|   weaponeer    |    111     |     -      |     -      |
|      gun       |    112     |    109     |     3      |
